Union,Gender,Age,Education_Level,Monthly_Income,Family_Size,Housing_Type,Land_Ownership,Previous_Erosion_Experience,Distance_from_River,Access_to_Warning,Relocation_History,Govt_or_NGO_Assistance,Has_Protection_System,Infrastructure_Loss,Income_Diversification,Employment_Status,Involved_in_Community_Adaptation,Awareness_Level,Distance_score,EII,ASI,SRI,ISS,Adaptation_Category
Maijbari,Female,43,Educated,10519,3,Permanent,No,Yes,81,Yes,No,No,Yes,No,Yes,Employed,Yes,High,0.9492,0.6746,0.8,0.9249,0.6667,Strongly Adaptive
Maijbari,Male,58,Not Educated,4548,9,Semi-Permanent,Yes,Yes,74,Yes,No,No,No,No,No,Not Employed,Yes,Low,0.9539,0.677,0.4,0.0691,0.3333,Non-Adaptive
Sthal,Male,32,Partially Educated,10857,5,Semi-Permanent,Yes,No,61,Yes,Yes,Yes,No,No,No,Employed,No,Moderate,0.9626,0.5813,0.4,0.7606,0.3333,Strongly Adaptive
Kachua,Male,52,Educated,10414,5,Temporary,Yes,No,286,No,No,No,No,No,Yes,Not Employed,Yes,High,0.8123,0.4061,0.4,0.5751,0.3333,Strongly Adaptive
Sthal,Male,38,Not Educated,5692,2,Permanent,No,No,89,Yes,No,Yes,No,No,Yes,Employed,No,Low,0.9439,0.4719,0.6,0.4471,0.3333,Moderately Adaptive
Sthal,Female,45,Partially Educated,8523,6,Semi-Permanent,Yes,Yes,438,Yes,No,Yes,No,No,Yes,Not Employed,Yes,Low,0.7108,0.5554,0.8,0.3504,0.6667,Strongly Adaptive
Sthal,Male,37,Partially Educated,4141,7,Semi-Permanent,Yes,Yes,207,Yes,No,No,Yes,Yes,No,Employed,No,Low,0.8651,0.8325,0.4,0.5785,0.3333,Non-Adaptive
Bakchar,Male,39,Not Educated,7687,9,Permanent,Yes,Yes,225,No,No,Yes,Yes,No,Yes,Employed,No,Moderate,0.853,0.6265,0.6,0.5012,0.6667,Moderately Adaptive
Bakchar,Male,33,Partially Educated,6963,3,Permanent,No,No,167,Yes,No,No,No,Yes,No,Employed,Yes,Low,0.8918,0.6459,0.4,0.655,0.3333,Moderately Adaptive
Sthal,Female,52,Partially Educated,8838,6,Semi-Permanent,Yes,Yes,270,No,Yes,No,No,No,No,Not Employed,No,Moderate,0.823,0.7115,0,0.3589,0,Non-Adaptive
Maijbari,Female,21,Not Educated,11201,6,Temporary,No,No,36,No,No,No,No,No,Yes,Employed,No,Low,0.9793,0.4896,0.2,0.5965,0,Non-Adaptive
Maijbari,Female,29,Not Educated,4494,4,Temporary,No,Yes,276,Yes,No,No,No,No,No,Not Employed,No,Moderate,0.819,0.6095,0.2,0.0676,0,Non-Adaptive
Kachua,Male,44,Partially Educated,7990,3,Permanent,No,No,69,No,No,No,Yes,No,No,Employed,No,High,0.9572,0.4786,0.2,0.6829,0.3333,Moderately Adaptive
Sthal,Female,51,Partially Educated,6621,7,Semi-Permanent,Yes,Yes,195,No,No,No,No,No,No,Employed,No,Moderate,0.8731,0.6365,0,0.6457,0,Non-Adaptive
Sthal,Male,19,Educated,8393,9,Temporary,Yes,Yes,7,Yes,Yes,No,No,No,No,Not Employed,Yes,High,0.9987,0.7993,0.4,0.5203,0.3333,Strongly Adaptive
Sthal,Female,62,Partially Educated,6990,6,Semi-Permanent,Yes,No,284,No,No,Yes,No,No,No,Employed,No,Moderate,0.8136,0.4068,0.2,0.6557,0.3333,Moderately Adaptive
Sthal,Male,20,Partially Educated,7742,5,Semi-Permanent,No,Yes,222,Yes,Yes,No,Yes,No,No,Not Employed,Yes,Moderate,0.855,0.7275,0.6,0.3292,0.6667,Strongly Adaptive
Kachua,Male,28,Not Educated,8923,6,Temporary,Yes,No,515,No,No,No,No,No,No,Not Employed,Yes,Low,0.6593,0.3297,0.2,0.1877,0.3333,Non-Adaptive
Kachua,Female,45,Partially Educated,5446,8,Semi-Permanent,Yes,No,319,Yes,No,Yes,No,No,No,Employed,Yes,Moderate,0.7902,0.3951,0.6,0.6139,0.6667,Strongly Adaptive
Sthal,Male,30,Not Educated,7657,8,Semi-Permanent,Yes,No,64,Yes,No,Yes,No,No,No,Not Employed,Yes,Low,0.9606,0.4803,0.6,0.1534,0.6667,Moderately Adaptive
Maijbari,Male,20,Educated,3913,7,Semi-Permanent,No,No,214,Yes,No,No,No,No,No,Employed,No,Moderate,0.8604,0.4302,0.2,0.7458,0,Moderately Adaptive
Sthal,Male,32,Partially Educated,7098,5,Semi-Permanent,Yes,No,27,No,No,No,No,No,No,Not Employed,No,Moderate,0.9853,0.4927,0,0.3117,0,Non-Adaptive
Maijbari,Male,64,Partially Educated,5547,6,Semi-Permanent,Yes,No,66,No,No,No,No,No,Yes,Employed,No,Moderate,0.9593,0.4796,0.2,0.6166,0,Non-Adaptive
Sthal,Female,30,Educated,5966,5,Permanent,Yes,No,56,No,No,No,No,No,Yes,Not Employed,No,High,0.9659,0.483,0.2,0.4545,0,Moderately Adaptive
Maijbari,Male,18,Partially Educated,6340,5,Semi-Permanent,Yes,No,88,No,Yes,Yes,Yes,No,No,Not Employed,Yes,Low,0.9446,0.5723,0.6,0.2912,1,Strongly Adaptive
Bakchar,Male,38,Partially Educated,6832,6,Semi-Permanent,Yes,No,50,Yes,No,No,Yes,No,No,Employed,Yes,Moderate,0.9699,0.485,0.6,0.6515,0.6667,Strongly Adaptive
Maijbari,Male,29,Educated,7227,4,Temporary,No,Yes,522,Yes,No,No,No,No,Yes,Employed,No,Moderate,0.6546,0.5273,0.4,0.8356,0,Strongly Adaptive
Sthal,Female,33,Partially Educated,4121,5,Semi-Permanent,Yes,No,542,No,No,No,Yes,No,No,Not Employed,Yes,Moderate,0.6413,0.3206,0.4,0.231,0.6667,Strongly Adaptive
Sthal,Female,31,Not Educated,5285,3,Permanent,No,No,311,Yes,No,Yes,No,No,No,Employed,No,Low,0.7956,0.3978,0.4,0.436,0.3333,Non-Adaptive
Sthal,Male,40,Partially Educated,7738,7,Permanent,Yes,No,289,No,No,Yes,Yes,No,Yes,Employed,No,Moderate,0.8103,0.4051,0.6,0.676,0.6667,Strongly Adaptive
Sthal,Male,24,Not Educated,7571,7,Semi-Permanent,Yes,No,191,No,No,No,Yes,No,No,Employed,No,Low,0.8758,0.4379,0.2,0.498,0.3333,Non-Adaptive
Sthal,Female,59,Not Educated,4698,5,Semi-Permanent,Yes,No,224,Yes,No,No,No,Yes,Yes,Employed,No,Low,0.8537,0.6269,0.4,0.4201,0,Non-Adaptive
Kachua,Female,24,Partially Educated,4339,7,Semi-Permanent,No,Yes,112,No,No,No,No,No,No,Employed,No,Moderate,0.9285,0.6643,0,0.5839,0,Non-Adaptive
Sthal,Male,31,Partially Educated,9187,3,Permanent,Yes,No,134,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.9138,0.4569,0.4,0.7153,0.6667,Strongly Adaptive
Sthal,Female,52,Partially Educated,4122,5,Semi-Permanent,Yes,Yes,74,No,No,Yes,Yes,No,No,Not Employed,No,Low,0.9539,0.677,0.4,0.231,0.6667,Moderately Adaptive
Sthal,Male,43,Partially Educated,6568,5,Semi-Permanent,Yes,No,24,No,No,No,Yes,No,No,Employed,No,Moderate,0.9873,0.4937,0.2,0.6443,0.3333,Moderately Adaptive
Maijbari,Female,42,Partially Educated,7487,7,Permanent,Yes,No,494,No,No,No,No,No,No,Not Employed,Yes,Low,0.6733,0.3367,0.2,0.3223,0.3333,Moderately Adaptive
Kachua,Male,56,Partially Educated,6523,5,Temporary,Yes,Yes,100,Yes,No,No,No,No,Yes,Employed,Yes,Moderate,0.9365,0.6683,0.6,0.6431,0.3333,Moderately Adaptive
Sthal,Female,31,Partially Educated,5524,4,Semi-Permanent,Yes,Yes,460,No,No,Yes,Yes,No,Yes,Not Employed,Yes,Moderate,0.6961,0.548,0.8,0.269,1,Strongly Adaptive
Bakchar,Female,36,Educated,5841,3,Permanent,Yes,No,47,Yes,No,Yes,Yes,No,Yes,Not Employed,Yes,High,0.9719,0.486,1,0.4511,1,Strongly Adaptive
Maijbari,Female,56,Educated,5861,7,Permanent,No,Yes,147,No,No,No,No,No,No,Not Employed,No,Moderate,0.9051,0.6526,0,0.4517,0,Non-Adaptive
Maijbari,Male,33,Partially Educated,8599,3,Semi-Permanent,No,No,172,No,Yes,No,No,No,No,Employed,No,Moderate,0.8884,0.5442,0,0.6994,0,Non-Adaptive
Sthal,Female,52,Educated,5160,4,Semi-Permanent,No,No,6,No,No,No,Yes,No,Yes,Not Employed,No,Moderate,0.9993,0.4997,0.4,0.4326,0.3333,Strongly Adaptive
Bakchar,Female,50,Partially Educated,2000,7,Semi-Permanent,Yes,No,703,Yes,No,No,No,No,No,Employed,Yes,Moderate,0.5337,0.2669,0.4,0.5204,0.3333,Moderately Adaptive
Sthal,Male,19,Not Educated,9804,5,Permanent,No,No,116,No,No,No,No,No,No,Employed,No,Low,0.9259,0.4629,0,0.5586,0,Non-Adaptive
Maijbari,Female,50,Partially Educated,10278,4,Semi-Permanent,No,Yes,15,Yes,No,No,No,No,No,Employed,Yes,Low,0.9933,0.6967,0.4,0.7449,0.3333,Moderately Adaptive
Maijbari,Male,40,Not Educated,7166,5,Semi-Permanent,No,Yes,350,Yes,No,Yes,No,No,Yes,Employed,No,Low,0.7695,0.5848,0.6,0.487,0.3333,Moderately Adaptive
Maijbari,Male,33,Not Educated,3129,3,Permanent,Yes,Yes,5,Yes,No,No,No,No,No,Employed,Yes,Low,1,0.7,0.4,0.3776,0.3333,Non-Adaptive
Sthal,Female,54,Partially Educated,7220,4,Permanent,No,Yes,96,Yes,No,No,No,No,Yes,Employed,No,Low,0.9392,0.6696,0.4,0.662,0,Moderately Adaptive
Sthal,Female,30,Partially Educated,6985,8,Temporary,Yes,Yes,549,Yes,No,No,No,No,No,Employed,No,Moderate,0.6366,0.5183,0.2,0.6556,0,Non-Adaptive
Bakchar,Male,32,Partially Educated,12262,5,Permanent,Yes,No,101,Yes,No,No,No,No,No,Employed,Yes,Moderate,0.9359,0.4679,0.4,0.7987,0.3333,Strongly Adaptive
Kachua,Female,25,Educated,3999,6,Permanent,No,No,33,No,No,Yes,Yes,No,No,Not Employed,No,High,0.9813,0.4906,0.4,0.4012,0.6667,Strongly Adaptive
Bakchar,Female,25,Partially Educated,3876,8,Permanent,Yes,No,19,No,No,No,No,No,Yes,Employed,No,Moderate,0.9906,0.4953,0.2,0.5713,0,Non-Adaptive
Bakchar,Female,45,Not Educated,5680,8,Permanent,No,No,762,No,No,No,No,No,No,Employed,No,Low,0.4943,0.2472,0,0.4467,0,Non-Adaptive
Maijbari,Female,47,Partially Educated,5271,4,Semi-Permanent,No,No,409,Yes,No,No,No,No,No,Not Employed,No,Low,0.7301,0.3651,0.2,0.2622,0,Non-Adaptive
Sthal,Female,33,Partially Educated,7177,4,Semi-Permanent,Yes,Yes,171,No,Yes,No,Yes,Yes,No,Employed,No,Low,0.8891,0.9446,0.2,0.6608,0.3333,Non-Adaptive
Sthal,Male,18,Partially Educated,5799,5,Permanent,Yes,No,163,Yes,No,No,No,No,No,Employed,No,Low,0.8945,0.4472,0.2,0.6234,0,Non-Adaptive
Bakchar,Female,43,Partially Educated,2000,4,Permanent,Yes,Yes,411,No,No,No,No,No,Yes,Employed,No,High,0.7288,0.5644,0.2,0.5204,0,Non-Adaptive
Kachua,Male,41,Educated,7908,4,Permanent,No,No,73,No,No,Yes,No,No,No,Not Employed,No,Moderate,0.9546,0.4773,0.2,0.5072,0.3333,Moderately Adaptive
Maijbari,Female,30,Partially Educated,8325,6,Permanent,Yes,No,788,Yes,No,No,No,No,No,Employed,No,Low,0.477,0.2385,0.2,0.6919,0,Moderately Adaptive
Sthal,Female,18,Partially Educated,8990,8,Permanent,Yes,No,35,No,No,Yes,No,No,No,Not Employed,No,Low,0.98,0.49,0.2,0.363,0.3333,Moderately Adaptive
Bakchar,Male,24,Not Educated,3922,3,Permanent,Yes,No,208,No,No,Yes,Yes,No,Yes,Not Employed,No,Low,0.8644,0.4322,0.6,0.0521,0.6667,Moderately Adaptive
Sthal,Male,32,Partially Educated,9596,4,Permanent,No,No,250,Yes,No,No,No,No,No,Not Employed,Yes,Low,0.8363,0.4182,0.4,0.3795,0.3333,Strongly Adaptive
Sthal,Male,43,Not Educated,6738,5,Permanent,No,No,100,No,Yes,Yes,No,No,No,Employed,Yes,Low,0.9365,0.5683,0.4,0.4754,0.6667,Moderately Adaptive
Maijbari,Male,34,Partially Educated,2757,6,Temporary,No,Yes,467,No,No,Yes,No,Yes,No,Not Employed,No,Low,0.6914,0.7457,0.2,0.194,0.3333,Non-Adaptive
Sthal,Female,30,Educated,6436,5,Permanent,Yes,Yes,188,No,No,No,No,No,No,Not Employed,No,High,0.8778,0.6389,0,0.4672,0,Non-Adaptive
Kachua,Male,49,Not Educated,3622,7,Permanent,Yes,No,88,No,No,No,No,Yes,Yes,Employed,Yes,Low,0.9446,0.6723,0.4,0.3909,0.3333,Non-Adaptive
Bakchar,Male,27,Educated,7971,4,Semi-Permanent,No,Yes,580,No,No,No,No,No,Yes,Not Employed,Yes,High,0.6159,0.5079,0.4,0.5089,0.3333,Strongly Adaptive
Sthal,Male,28,Partially Educated,7323,4,Permanent,Yes,Yes,121,Yes,No,No,Yes,No,No,Not Employed,Yes,Moderate,0.9225,0.6613,0.6,0.3178,0.6667,Strongly Adaptive
Kachua,Male,29,Partially Educated,7398,1,Semi-Permanent,Yes,No,17,Yes,No,No,No,Yes,No,Employed,No,Low,0.992,0.696,0.2,0.6668,0,Non-Adaptive
Kachua,Male,50,Not Educated,6621,6,Permanent,Yes,No,227,Yes,No,No,No,No,No,Not Employed,No,Low,0.8517,0.4259,0.2,0.1253,0,Non-Adaptive
Bakchar,Female,44,Educated,5959,4,Permanent,No,No,179,No,No,No,No,No,No,Employed,No,High,0.8838,0.4419,0,0.8013,0,Non-Adaptive
Maijbari,Male,30,Educated,4691,8,Semi-Permanent,No,Yes,127,Yes,No,Yes,No,No,No,Not Employed,No,High,0.9185,0.6593,0.4,0.4199,0.3333,Moderately Adaptive
Sthal,Female,60,Partially Educated,5208,4,Permanent,No,Yes,50,Yes,No,Yes,No,No,No,Employed,No,Low,0.9699,0.685,0.4,0.6074,0.3333,Non-Adaptive
Maijbari,Female,61,Not Educated,4453,5,Permanent,Yes,Yes,307,Yes,No,No,No,No,Yes,Employed,No,Low,0.7983,0.5991,0.4,0.4135,0,Non-Adaptive
Bakchar,Female,50,Not Educated,7091,4,Semi-Permanent,No,No,144,No,No,No,No,Yes,Yes,Employed,No,Moderate,0.9071,0.6536,0.2,0.485,0,Non-Adaptive
Sthal,Male,67,Educated,6858,7,Permanent,Yes,No,137,No,No,No,Yes,No,Yes,Not Employed,Yes,High,0.9118,0.4559,0.6,0.4787,0.6667,Strongly Adaptive
Sthal,Female,32,Partially Educated,9044,5,Semi-Permanent,Yes,No,212,No,No,No,No,Yes,No,Employed,No,Moderate,0.8617,0.6309,0,0.7114,0,Non-Adaptive
Sthal,Male,56,Partially Educated,2000,7,Permanent,Yes,No,71,No,No,Yes,No,Yes,Yes,Not Employed,No,Low,0.9559,0.678,0.4,0.1735,0.3333,Non-Adaptive
Kachua,Female,48,Partially Educated,6521,7,Temporary,Yes,Yes,321,Yes,No,No,No,No,No,Employed,No,High,0.7889,0.5945,0.2,0.643,0,Non-Adaptive
Bakchar,Male,30,Not Educated,4657,5,Semi-Permanent,Yes,Yes,59,No,No,Yes,No,No,Yes,Not Employed,No,Low,0.9639,0.682,0.4,0.072,0.3333,Non-Adaptive
Maijbari,Male,50,Educated,5811,6,Semi-Permanent,Yes,No,13,Yes,No,No,No,No,No,Employed,Yes,Moderate,0.9947,0.4973,0.4,0.7973,0.3333,Strongly Adaptive
Kachua,Female,25,Not Educated,5975,3,Permanent,No,Yes,311,No,No,Yes,Yes,No,No,Not Employed,Yes,Moderate,0.7956,0.5978,0.6,0.1078,1,Moderately Adaptive
Kachua,Male,25,Educated,6075,4,Permanent,No,No,159,No,No,Yes,No,No,No,Not Employed,No,High,0.8971,0.4486,0.2,0.4575,0.3333,Moderately Adaptive
Maijbari,Male,36,Not Educated,8065,3,Permanent,No,No,258,No,No,No,No,No,No,Employed,No,Low,0.831,0.4155,0,0.5114,0,Non-Adaptive
Sthal,Male,48,Not Educated,6726,8,Permanent,Yes,Yes,180,No,No,No,Yes,No,Yes,Employed,Yes,Low,0.8831,0.6415,0.6,0.4751,0.6667,Moderately Adaptive
Maijbari,Male,35,Partially Educated,9842,5,Permanent,No,Yes,401,No,No,Yes,No,No,Yes,Employed,No,Moderate,0.7355,0.5677,0.4,0.7331,0.3333,Moderately Adaptive
Kachua,Male,44,Partially Educated,7910,5,Semi-Permanent,Yes,No,5,Yes,No,No,No,No,Yes,Employed,No,Low,1,0.5,0.4,0.6807,0,Moderately Adaptive
Maijbari,Male,45,Educated,9526,4,Permanent,Yes,No,166,Yes,No,Yes,No,No,Yes,Not Employed,No,Moderate,0.8925,0.4462,0.6,0.551,0.3333,Strongly Adaptive
Sthal,Male,39,Educated,3761,2,Semi-Permanent,Yes,No,125,No,No,Yes,No,No,No,Employed,No,Moderate,0.9198,0.4599,0.2,0.7417,0.3333,Moderately Adaptive
Sthal,Male,38,Educated,8420,8,Semi-Permanent,No,No,283,Yes,No,No,No,No,No,Employed,Yes,Moderate,0.8143,0.4071,0.4,0.868,0.3333,Strongly Adaptive
Maijbari,Female,56,Educated,7637,3,Permanent,Yes,No,28,Yes,No,No,No,No,Yes,Employed,Yes,High,0.9846,0.4923,0.6,0.8468,0.3333,Strongly Adaptive
Maijbari,Female,18,Partially Educated,5732,2,Semi-Permanent,Yes,Yes,182,No,No,No,No,No,No,Not Employed,Yes,Moderate,0.8818,0.6409,0.2,0.2747,0.3333,Non-Adaptive
Sthal,Female,54,Educated,5812,8,Permanent,No,Yes,558,No,No,No,No,No,Yes,Employed,No,Moderate,0.6306,0.5153,0.2,0.7973,0,Moderately Adaptive
Bakchar,Female,29,Not Educated,7629,5,Temporary,No,No,157,No,No,No,Yes,No,Yes,Employed,Yes,Low,0.8985,0.4492,0.6,0.4996,0.6667,Moderately Adaptive
Sthal,Female,62,Partially Educated,6558,5,Permanent,No,Yes,43,Yes,No,No,No,No,No,Employed,Yes,Moderate,0.9746,0.6873,0.4,0.644,0.3333,Moderately Adaptive
Sthal,Male,33,Not Educated,6500,5,Permanent,No,No,29,No,No,Yes,Yes,Yes,No,Employed,No,Low,0.984,0.692,0.4,0.469,0.6667,Non-Adaptive
Sthal,Male,25,Not Educated,6930,7,Permanent,Yes,Yes,202,Yes,No,Yes,No,No,No,Employed,Yes,Low,0.8684,0.6342,0.6,0.4806,0.6667,Moderately Adaptive
Kachua,Male,48,Not Educated,4937,3,Permanent,No,No,175,Yes,No,No,No,No,No,Employed,No,Low,0.8864,0.4432,0.2,0.4266,0,Non-Adaptive
Sthal,Male,20,Educated,8228,10,Permanent,Yes,No,578,No,No,No,No,No,Yes,Employed,No,High,0.6172,0.3086,0.2,0.8628,0,Strongly Adaptive
Maijbari,Female,72,Educated,6815,5,Temporary,Yes,No,77,No,No,No,No,No,No,Employed,No,High,0.9519,0.476,0,0.8245,0,Non-Adaptive
Bakchar,Female,33,Partially Educated,8234,8,Semi-Permanent,No,No,250,No,No,No,No,No,No,Employed,No,Moderate,0.8363,0.4182,0,0.6895,0,Non-Adaptive
Kachua,Male,20,Partially Educated,8789,8,Temporary,Yes,Yes,66,Yes,No,No,No,Yes,No,Employed,Yes,Moderate,0.9593,0.8796,0.4,0.7045,0.3333,Moderately Adaptive
Sthal,Female,37,Partially Educated,5825,4,Permanent,Yes,Yes,378,No,No,Yes,No,No,No,Employed,Yes,Moderate,0.7508,0.5754,0.4,0.6242,0.6667,Moderately Adaptive
Maijbari,Male,46,Partially Educated,9491,2,Permanent,Yes,No,45,No,No,Yes,No,No,Yes,Employed,No,Moderate,0.9733,0.4866,0.4,0.7236,0.3333,Moderately Adaptive
Kachua,Male,24,Not Educated,6515,7,Temporary,No,No,41,No,No,Yes,No,No,No,Not Employed,Yes,Low,0.976,0.488,0.4,0.1224,0.6667,Non-Adaptive
Sthal,Male,53,Partially Educated,6520,5,Temporary,Yes,No,229,No,No,No,No,No,No,Employed,No,Moderate,0.8504,0.4252,0,0.643,0,Non-Adaptive
Sthal,Female,40,Educated,6600,5,Permanent,No,Yes,190,Yes,No,Yes,No,No,No,Employed,No,Moderate,0.8764,0.6382,0.4,0.8186,0.3333,Strongly Adaptive
Maijbari,Female,41,Not Educated,6306,4,Semi-Permanent,Yes,No,48,No,No,No,Yes,No,No,Not Employed,Yes,Low,0.9713,0.4856,0.4,0.1168,0.6667,Moderately Adaptive
Sthal,Male,31,Not Educated,7703,5,Permanent,Yes,No,13,Yes,No,Yes,No,Yes,No,Employed,No,Low,0.9947,0.6973,0.4,0.5016,0.3333,Non-Adaptive
Kachua,Female,44,Partially Educated,8064,5,Permanent,No,Yes,74,No,No,No,No,No,No,Not Employed,Yes,Moderate,0.9539,0.677,0.2,0.3379,0.3333,Non-Adaptive
Kachua,Female,32,Partially Educated,8605,7,Temporary,No,No,141,No,No,No,No,No,No,Not Employed,Yes,Moderate,0.9092,0.4546,0.2,0.3526,0.3333,Moderately Adaptive
Sthal,Female,52,Not Educated,9466,4,Permanent,Yes,No,66,Yes,No,No,No,Yes,No,Not Employed,Yes,Low,0.9593,0.6796,0.4,0.2025,0.3333,Non-Adaptive
Kachua,Male,35,Not Educated,8332,10,Temporary,No,Yes,336,Yes,No,No,No,No,No,Not Employed,No,Low,0.7789,0.5894,0.2,0.1717,0,Non-Adaptive
Kachua,Male,49,Partially Educated,8364,6,Temporary,No,Yes,14,Yes,No,No,Yes,Yes,No,Not Employed,No,Moderate,0.994,0.897,0.4,0.346,0.3333,Moderately Adaptive
Sthal,Male,46,Partially Educated,4847,6,Semi-Permanent,Yes,Yes,98,Yes,No,Yes,No,No,Yes,Employed,No,Low,0.9379,0.6689,0.6,0.5976,0.3333,Moderately Adaptive
Bakchar,Female,35,Partially Educated,12222,7,Temporary,No,No,7,No,No,Yes,No,No,No,Employed,Yes,High,0.9987,0.4993,0.4,0.7976,0.6667,Strongly Adaptive
Maijbari,Female,51,Educated,6278,5,Temporary,Yes,No,159,Yes,No,Yes,No,No,No,Employed,No,High,0.8971,0.4486,0.4,0.8099,0.3333,Strongly Adaptive
Maijbari,Female,18,Not Educated,7556,6,Semi-Permanent,Yes,No,331,Yes,No,Yes,No,No,Yes,Employed,No,Low,0.7822,0.3911,0.6,0.4976,0.3333,Moderately Adaptive
Maijbari,Female,30,Partially Educated,9774,12,Semi-Permanent,No,No,31,Yes,No,No,No,No,No,Employed,No,Moderate,0.9826,0.4913,0.2,0.7312,0,Moderately Adaptive
Sthal,Female,48,Partially Educated,8254,5,Temporary,Yes,No,67,Yes,No,Yes,No,No,No,Not Employed,No,Moderate,0.9586,0.4793,0.4,0.3431,0.3333,Moderately Adaptive
Bakchar,Male,49,Not Educated,6526,6,Temporary,No,Yes,204,Yes,No,Yes,Yes,No,Yes,Employed,No,Low,0.8671,0.6335,0.8,0.4697,0.6667,Strongly Adaptive
Bakchar,Male,54,Educated,7387,4,Permanent,Yes,No,303,No,No,No,No,No,No,Not Employed,No,High,0.8009,0.4005,0,0.493,0,Moderately Adaptive
Sthal,Male,28,Not Educated,8020,3,Permanent,No,No,95,No,No,Yes,No,No,Yes,Not Employed,Yes,Low,0.9399,0.4699,0.6,0.1632,0.6667,Strongly Adaptive
Kachua,Female,35,Educated,6761,7,Permanent,Yes,No,575,Yes,No,Yes,No,No,No,Employed,No,High,0.6192,0.3096,0.4,0.823,0.3333,Strongly Adaptive
Bakchar,Male,52,Partially Educated,6081,6,Permanent,Yes,No,968,No,No,No,Yes,No,No,Employed,No,Moderate,0.3567,0.1784,0.2,0.6311,0.3333,Strongly Adaptive
Kachua,Male,54,Educated,4412,2,Semi-Permanent,Yes,Yes,350,No,No,No,No,No,No,Employed,Yes,High,0.7695,0.5848,0.2,0.7593,0.3333,Moderately Adaptive
Maijbari,Female,27,Partially Educated,4669,3,Permanent,Yes,Yes,26,Yes,No,Yes,No,Yes,No,Employed,Yes,Moderate,0.986,0.893,0.6,0.5928,0.6667,Moderately Adaptive
Maijbari,Male,28,Partially Educated,6054,7,Permanent,No,Yes,396,No,No,No,Yes,No,Yes,Not Employed,No,Low,0.7388,0.5694,0.4,0.2834,0.3333,Moderately Adaptive
Maijbari,Male,34,Educated,4554,5,Semi-Permanent,Yes,No,135,Yes,No,No,No,Yes,No,Employed,Yes,High,0.9132,0.6566,0.4,0.7632,0.3333,Strongly Adaptive
Kachua,Female,19,Educated,5687,5,Permanent,Yes,Yes,314,Yes,No,No,Yes,No,Yes,Employed,No,High,0.7936,0.5968,0.6,0.7939,0.3333,Strongly Adaptive
Maijbari,Male,46,Partially Educated,7513,5,Semi-Permanent,No,No,165,No,No,No,Yes,No,No,Employed,No,Low,0.8931,0.4466,0.2,0.6699,0.3333,Moderately Adaptive
Sthal,Male,49,Partially Educated,6218,4,Permanent,Yes,No,411,Yes,No,Yes,No,No,Yes,Not Employed,No,High,0.7288,0.3644,0.6,0.2879,0.3333,Strongly Adaptive
Bakchar,Male,24,Educated,5826,3,Permanent,No,No,95,No,No,No,Yes,No,No,Employed,Yes,Moderate,0.9399,0.4699,0.4,0.7977,0.6667,Strongly Adaptive
Maijbari,Female,44,Partially Educated,7446,6,Permanent,No,No,48,Yes,No,No,No,No,Yes,Not Employed,Yes,Low,0.9713,0.4856,0.6,0.3212,0.3333,Strongly Adaptive
Sthal,Female,49,Partially Educated,8323,6,Permanent,No,Yes,19,Yes,No,No,Yes,No,No,Employed,No,Low,0.9906,0.6953,0.4,0.6919,0.3333,Moderately Adaptive
Sthal,Male,32,Partially Educated,5886,6,Semi-Permanent,No,No,261,Yes,No,Yes,No,No,No,Employed,Yes,Moderate,0.829,0.4145,0.6,0.6258,0.6667,Strongly Adaptive
Sthal,Female,36,Not Educated,9128,2,Permanent,Yes,No,302,No,No,Yes,Yes,No,No,Employed,No,Low,0.8016,0.4008,0.4,0.5402,0.6667,Moderately Adaptive
Kachua,Male,37,Partially Educated,11395,3,Temporary,No,No,191,Yes,No,Yes,No,No,Yes,Employed,No,Moderate,0.8758,0.4379,0.6,0.7752,0.3333,Strongly Adaptive
Maijbari,Female,39,Partially Educated,7407,2,Permanent,Yes,No,18,No,No,Yes,No,No,No,Employed,No,Moderate,0.9913,0.4957,0.2,0.6671,0.3333,Moderately Adaptive
Kachua,Male,24,Partially Educated,8685,4,Permanent,Yes,Yes,184,Yes,No,No,Yes,No,Yes,Employed,Yes,Moderate,0.8804,0.6402,0.8,0.7017,0.6667,Strongly Adaptive
Sthal,Male,52,Not Educated,5788,6,Permanent,No,No,166,Yes,No,No,No,No,No,Employed,No,Low,0.8925,0.4462,0.2,0.4497,0,Non-Adaptive
Sthal,Female,53,Partially Educated,7581,7,Permanent,Yes,No,37,No,No,No,No,No,No,Employed,Yes,High,0.9786,0.4893,0.2,0.6718,0.3333,Moderately Adaptive
Kachua,Female,31,Not Educated,7716,4,Permanent,Yes,Yes,172,No,No,No,No,No,Yes,Not Employed,No,Low,0.8884,0.6442,0.2,0.155,0,Non-Adaptive
Bakchar,Male,40,Not Educated,4571,4,Semi-Permanent,Yes,Yes,35,No,No,No,Yes,No,No,Not Employed,Yes,Low,0.98,0.69,0.4,0.0697,0.6667,Non-Adaptive
Maijbari,Male,33,Partially Educated,8321,4,Semi-Permanent,No,No,565,No,No,No,Yes,No,Yes,Employed,Yes,Low,0.6259,0.313,0.6,0.6918,0.6667,Strongly Adaptive
